Rule,Normal,Anomaly
true,0.220000,0.780000
true,0.230000,0.770000
true,0.230000,0.770000
true,0.340000,0.660000
false,0.340000,0.660000
true,0.330000,0.670000
false,0.350000,0.650000
true,0.230000,0.770000
false,0.340000,0.660000
true,0.340000,0.660000
true,0.370000,0.630000
true,0.330000,0.670000
true,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.350000,0.650000
false,0.330000,0.670000
true,0.330000,0.670000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.410000,0.590000
true,0.360000,0.640000
true,0.370000,0.630000
true,0.370000,0.630000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.410000,0.590000
false,0.410000,0.590000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.350000,0.650000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.350000,0.650000
false,0.410000,0.590000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.350000,0.650000
false,0.340000,0.660000
false,0.350000,0.650000
false,0.350000,0.650000
true,0.370000,0.630000
true,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
true,0.340000,0.660000
false,0.340000,0.660000
true,0.330000,0.670000
true,0.320000,0.680000
true,0.310000,0.690000
false,0.340000,0.660000
false,0.410000,0.590000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.360000,0.640000
false,0.340000,0.660000
false,0.350000,0.650000
false,0.350000,0.650000
false,0.340000,0.660000
false,0.360000,0.640000
false,0.360000,0.640000
false,0.360000,0.640000
false,0.340000,0.660000
true,0.370000,0.630000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.340000,0.660000
false,0.410000,0.590000
