Rule,Normal,Anomaly

false,0.860163,0.139837
false,0.860163,0.139837
false,0.834549,0.165451
false,0.849359,0.150641
false,0.849359,0.150641
false,0.748898,0.251102
false,0.866743,0.133257
false,0.866743,0.133257
false,0.866743,0.133257
false,0.862457,0.137543
false,0.862457,0.137543
false,0.866743,0.133257
false,0.866743,0.133257
false,0.866743,0.133257
false,0.866743,0.133257
false,0.868525,0.131475
false,0.818984,0.181016
false,0.819359,0.180641
false,0.769677,0.230323
false,0.819359,0.180641
false,0.902026,0.097974
false,0.892858,0.107142
false,0.879105,0.120895
false,0.879105,0.120895
true,0.284158,0.715842
true,0.284158,0.715842
true,0.292491,0.707509
true,0.292491,0.707509
false,0.292491,0.707509
true,0.284158,0.715842
true,0.292491,0.707509
true,0.699895,0.300105
true,0.292491,0.707509
true,0.292491,0.707509
true,0.284158,0.715842
true,0.699895,0.300105
false,0.284158,0.715842
false,0.292491,0.707509
false,0.292491,0.707509
false,0.292491,0.707509
true,0.699895,0.300105
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.294158,0.705842
true,0.294158,0.705842
true,0.294158,0.705842
false,0.292491,0.707509
true,0.292491,0.707509
true,0.292491,0.707509
true,0.292491,0.707509
false,0.284158,0.715842
true,0.292491,0.707509
false,0.284158,0.715842
false,0.284158,0.715842
true,0.252303,0.747697
false,0.284158,0.715842
false,0.294158,0.705842
true,0.284299,0.715701
false,0.294158,0.705842
true,0.302491,0.697509
true,0.284158,0.715842
false,0.292491,0.707509
true,0.284158,0.715842
false,0.879105,0.120895
false,0.879105,0.120895
false,0.292491,0.707509
false,0.879105,0.120895
false,0.292491,0.707509
true,0.284158,0.715842
false,0.292491,0.707509
true,0.284158,0.715842
true,0.294158,0.705842
true,0.284158,0.715842
true,0.274321,0.725679
true,0.274321,0.725679
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
false,0.292491,0.707509
false,0.292491,0.707509
true,0.292491,0.707509
false,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.292491,0.707509
true,0.302491,0.697509
false,0.292491,0.707509
false,0.292491,0.707509
true,0.302491,0.697509
true,0.294158,0.705842
false,0.292491,0.707509
false,0.292491,0.707509
false,0.294158,0.705842
false,0.294158,0.705842
false,0.879105,0.120895
false,0.257696,0.742304
false,0.294158,0.705842
true,0.302491,0.697509
false,0.292491,0.707509
false,0.325379,0.674621
false,0.292491,0.707509
false,0.325379,0.674621
false,0.325379,0.674621
true,0.292491,0.707509
false,0.292491,0.707509
false,0.292491,0.707509
false,0.292491,0.707509
true,0.284158,0.715842
false,0.292491,0.707509
false,0.292491,0.707509
false,0.325379,0.674621
true,0.302491,0.697509
false,0.292491,0.707509
true,0.292491,0.707509
true,0.285191,0.714809
true,0.292491,0.707509
false,0.292491,0.707509
false,0.292491,0.707509
true,0.325379,0.674621
true,0.325379,0.674621
true,0.284158,0.715842
true,0.292491,0.707509
true,0.284158,0.715842
true,0.294158,0.705842
true,0.294158,0.705842
true,0.294158,0.705842
true,0.257696,0.742304
true,0.274320,0.725680
true,0.274320,0.725680
true,0.242466,0.757534
true,0.274320,0.725680
true,0.274320,0.725680
true,0.284320,0.715680
true,0.274320,0.725680
true,0.274320,0.725680
true,0.274320,0.725680
true,0.284320,0.715680
true,0.274320,0.725680
true,0.284320,0.715680
true,0.274320,0.725680
true,0.284320,0.715680
true,0.284320,0.715680
false,0.292491,0.707509
true,0.284320,0.715680
true,0.292491,0.707509
true,0.257695,0.742305
false,0.292491,0.707509
false,0.292491,0.707509
false,0.284158,0.715842
true,0.302491,0.697509
false,0.292491,0.707509
false,0.292491,0.707509
true,0.302491,0.697509
false,0.292491,0.707509
false,0.294158,0.705842
false,0.292491,0.707509
true,0.294158,0.705842
false,0.294158,0.705842
false,0.294158,0.705842
false,0.257696,0.742304
true,0.292491,0.707509
true,0.292491,0.707509
true,0.292491,0.707509
true,0.302491,0.697509
true,0.292491,0.707509
true,0.284158,0.715842
true,0.292491,0.707509
false,0.284158,0.715842
false,0.292491,0.707509
true,0.292491,0.707509
false,0.292491,0.707509
false,0.284158,0.715842
false,0.284158,0.715842
true,0.244133,0.755867
false,0.284158,0.715842
true,0.292491,0.707509
true,0.251633,0.748367
true,0.292491,0.707509
true,0.292491,0.707509
false,0.325379,0.674621
false,0.325379,0.674621
false,0.292491,0.707509
false,0.292491,0.707509
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
true,0.291821,0.708179
true,0.293969,0.706031
true,0.251633,0.748367
true,0.294158,0.705842
true,0.294158,0.705842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.292491,0.707509
true,0.284158,0.715842
true,0.284158,0.715842
false,0.284158,0.715842
true,0.292491,0.707509
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.292491,0.707509
false,0.302491,0.697509
true,0.284158,0.715842
true,0.284158,0.715842
true,0.294158,0.705842
true,0.253970,0.746030
true,0.253970,0.746030
true,0.253970,0.746030
true,0.294158,0.705842
true,0.294158,0.705842
true,0.284320,0.715680
true,0.294158,0.705842
true,0.294158,0.705842
true,0.291090,0.708910
true,0.284320,0.715680
true,0.291090,0.708910
true,0.294158,0.705842
true,0.294158,0.705842
true,0.301658,0.698342
true,0.301658,0.698342
true,0.294158,0.705842
true,0.313969,0.686031
true,0.261471,0.738529
true,0.294158,0.705842
true,0.294158,0.705842
true,0.294158,0.705842
true,0.294158,0.705842
true,0.294158,0.705842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
true,0.294158,0.705842
true,0.294158,0.705842
true,0.284320,0.715680
false,0.294158,0.705842
true,0.244133,0.755867
true,0.294158,0.705842
true,0.244133,0.755867
true,0.284320,0.715680
true,0.244133,0.755867
true,0.284320,0.715680
false,0.284158,0.715842
false,0.284158,0.715842
false,0.284320,0.715680
false,0.284158,0.715842
false,0.284158,0.715842
false,0.302491,0.697509
true,0.302491,0.697509
false,0.292491,0.707509
true,0.284158,0.715842
true,0.294158,0.705842
true,0.294158,0.705842
false,0.294158,0.705842
false,0.294158,0.705842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
true,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.252303,0.747697
true,0.252303,0.747697
true,0.284158,0.715842
true,0.243970,0.756030
true,0.252303,0.747697
true,0.262303,0.737697
true,0.252303,0.747697
true,0.252303,0.747697
true,0.262303,0.737697
true,0.252303,0.747697
true,0.252303,0.747697
true,0.253970,0.746030
true,0.253970,0.746030
true,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
true,0.284158,0.715842
true,0.294158,0.705842
true,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
true,0.294158,0.705842
true,0.294158,0.705842
false,0.325379,0.674621
false,0.291090,0.708910
true,0.302491,0.697509
false,0.302491,0.697509
true,0.302491,0.697509
false,0.325379,0.674621
true,0.302491,0.697509
true,0.292491,0.707509
false,0.302491,0.697509
true,0.302491,0.697509
true,0.292491,0.707509
true,0.302491,0.697509
true,0.302491,0.697509
true,0.292491,0.707509
false,0.302491,0.697509
true,0.284299,0.715701
true,0.699895,0.300105
true,0.302491,0.697509
true,0.284299,0.715701
true,0.284299,0.715701
false,0.292491,0.707509
true,0.292491,0.707509
true,0.292491,0.707509
true,0.294158,0.705842
true,0.294158,0.705842
false,0.294158,0.705842
false,0.292491,0.707509
true,0.294158,0.705842
true,0.292491,0.707509
true,0.294158,0.705842
true,0.292491,0.707509
true,0.294158,0.705842
false,0.294158,0.705842
true,0.294158,0.705842
false,0.294158,0.705842
false,0.294158,0.705842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.294158,0.705842
false,0.294158,0.705842
true,0.294158,0.705842
true,0.226437,0.773563
false,0.294158,0.705842
true,0.294158,0.705842
true,0.226437,0.773563
false,0.294158,0.705842
false,0.284158,0.715842
false,0.284158,0.715842
true,0.294158,0.705842
false,0.294158,0.705842
true,0.284158,0.715842
false,0.294158,0.705842
true,0.284158,0.715842
false,0.302491,0.697509
false,0.302491,0.697509
false,0.302491,0.697509
false,0.294158,0.705842
false,0.294158,0.705842
false,0.294158,0.705842
true,0.294158,0.705842
true,0.237883,0.762117
true,0.237883,0.762117
false,0.257696,0.742304
true,0.244133,0.755867
true,0.302491,0.697509
true,0.292491,0.707509
false,0.292491,0.707509
true,0.292491,0.707509
false,0.294158,0.705842
false,0.302491,0.697509
false,0.294158,0.705842
false,0.284158,0.715842
false,0.294158,0.705842
true,0.284158,0.715842
false,0.284158,0.715842
false,0.294158,0.705842
false,0.294158,0.705842
false,0.284158,0.715842
false,0.294158,0.705842
false,0.294158,0.705842
true,0.284158,0.715842
false,0.294158,0.705842
false,0.284158,0.715842
true,0.218936,0.781064
false,0.284158,0.715842
true,0.294158,0.705842
false,0.294158,0.705842
false,0.292491,0.707509
false,0.294158,0.705842
false,0.292491,0.707509
false,0.879105,0.120895
true,0.294158,0.705842
false,0.879105,0.120895
true,0.284158,0.715842
false,0.284158,0.715842
true,0.294158,0.705842
false,0.292491,0.707509
