single_quote,double_quote,backtick,less_than,greater_than,left_parenthesis,right_parenthesis,left_bracket,right_bracket,left_brace,right_brace,dash,double_dash,hash,pipe,ampersand,dollar,percent,asterisk,exclamation_mark,equals,logical_or,logical_and,addition_operator,multiplication_operator,sql_comment_multi_line_open,sql_comment_multi_line_close,file_path_root,backslash,colon,comma,period,caret,tilde,at_sign,carriage_return,newline,null_byte,space,hexadecimal_prefix,percent_encoded,badword,label
0,0,0,0,0,2,2,0,0,0,0,9,0,0,0,0,0,0,2,0,7,0,0,1,2,1,1,13,0,8,18,11,0,0,0,0,0,0,28,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,1,3,2,1,14,0,8,15,11,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,2,0,7,0,0,1,2,1,1,17,0,9,18,12,0,0,0,0,0,0,29,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,14,0,0,0,2,0,0,2,0,11,0,0,1,2,1,1,21,0,14,22,14,0,0,0,0,0,0,37,0,0,2,0
0,0,0,0,0,2,2,0,0,0,0,14,0,0,0,2,0,0,2,0,11,0,0,1,2,1,1,21,0,14,22,15,0,0,0,0,0,0,37,0,0,3,0
0,0,0,0,0,2,2,0,0,0,0,14,0,0,0,2,0,0,2,0,11,0,0,1,2,1,1,21,0,14,22,15,0,0,0,0,0,0,37,0,0,3,0
0,0,0,0,0,2,2,0,0,0,0,14,0,0,0,2,0,0,2,0,11,0,0,1,2,1,1,21,0,14,22,15,0,0,0,0,0,0,37,0,0,3,0
0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,2,0,7,0,0,1,2,1,1,14,0,7,17,12,0,0,0,0,0,0,27,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,2,0,8,0,0,1,2,1,1,20,0,9,18,14,0,0,0,0,0,0,29,0,0,2,0
0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,2,0,8,0,0,1,2,1,1,22,0,9,18,13,0,0,0,0,0,0,29,0,0,2,0
0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,2,0,7,0,0,1,2,1,1,22,0,9,18,12,0,0,0,0,0,0,29,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,2,0,7,0,0,1,2,1,1,22,0,9,18,12,0,0,0,0,0,0,29,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,2,0,7,0,0,1,2,1,1,22,0,9,18,12,0,0,0,0,0,0,29,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,6,0,0,0,0,0,0,2,0,3,0,0,0,2,1,1,9,0,6,9,10,0,0,0,0,0,0,24,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,6,0,0,0,0,0,0,2,0,3,0,0,0,2,1,1,9,0,6,9,10,0,0,0,0,0,0,24,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,6,0,0,0,0,0,0,2,0,3,0,0,0,2,1,1,9,0,6,9,10,0,0,0,0,0,0,24,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,2,0,7,0,0,1,2,1,1,22,0,9,18,12,0,0,0,0,0,0,29,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,2,0,7,0,0,1,2,1,1,22,0,9,18,12,0,0,0,0,0,0,29,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,2,0,7,0,0,1,2,1,1,22,0,9,18,12,0,0,0,0,0,0,29,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,2,0,6,0,0,1,2,1,1,13,0,7,17,11,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,2,0,6,0,0,1,2,1,1,17,0,9,18,12,0,0,0,0,0,0,28,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,5,0,0,0,0,0,0,2,0,3,0,0,0,2,1,1,13,0,8,11,11,0,0,0,0,0,0,26,0,0,2,0
0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,2,0,3,0,0,0,2,1,1,14,0,8,11,11,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,5,0,0,0,0,0,0,2,0,2,0,0,0,2,1,1,12,0,8,10,10,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,5,0,0,0,0,0,0,2,0,3,0,0,0,2,1,1,14,0,8,11,11,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0,2,1,1,13,0,8,10,10,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0,2,1,1,13,0,8,10,11,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,3,0,3,0,0,1,3,2,1,17,0,8,15,11,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,8,0,0,0,0,0,0,3,0,3,0,0,1,3,2,1,17,0,8,15,11,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,1,3,2,1,17,0,8,15,11,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,1,3,2,1,17,0,8,15,11,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,1,3,2,1,17,0,8,15,11,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,8,0,0,0,0,0,0,3,0,3,0,0,1,3,2,1,17,0,8,15,11,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,1,3,2,1,17,0,8,15,11,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,1,3,2,1,17,0,8,15,11,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,8,0,0,0,0,0,0,3,0,3,0,0,1,3,2,1,17,0,8,15,11,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,9,0,0,0,0,0,0,3,0,3,0,0,1,3,2,1,17,0,8,15,11,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,1,3,2,1,17,0,8,15,11,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,1,3,2,1,16,0,8,15,11,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,8,0,0,0,0,0,0,2,0,7,0,0,1,2,1,1,18,0,9,18,14,0,0,0,0,0,0,28,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,9,0,0,0,0,0,0,3,0,4,0,0,1,3,2,1,17,0,8,15,13,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,11,0,0,0,0,0,0,2,0,8,0,0,1,2,1,1,18,0,9,18,16,0,0,0,0,0,0,28,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,9,0,0,0,0,0,0,3,0,4,0,0,1,3,2,1,17,0,8,15,13,0,0,0,0,0,0,26,0,0,1,0
0,0,0,0,0,2,2,0,0,0,0,27,0,0,0,2,0,0,2,0,12,0,0,5,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,0,2,0
0,0,0,0,0,2,2,0,0,0,0,12,0,0,0,0,0,0,2,0,7,0,0,1,2,1,1,18,0,9,18,15,0,0,0,0,0,0,28,0,0,3,0
0,0,0,0,0,2,2,0,0,0,0,12,0,0,0,0,0,0,2,0,7,0,0,1,2,1,1,18,0,9,18,15,0,0,0,0,0,0,28,0,0,3,0
